Название статьи;Текст
Статья 11. Действие уголовного закона в отношении лиц, совершивших преступление на территории Российской Федерации;УК РФ Статья 11. Действие уголовного закона в отношении лиц, совершивших преступление на территории Российской Федерации 1. Лицо, совершившее преступление на территории Российской Федерации, подлежит уголовной ответственности по настоящему Кодексу. 2. Преступления, совершенные в пределах территориального моря или воздушного пространства Российской Федерации, признаются совершенными на территории Российской Федерации. Действие настоящего Кодекса распространяется также на преступления, совершенные на континентальном шельфе и в исключительной экономической зоне Российской Федерации. 3. Лицо, совершившее преступление на судне, приписанном к порту Российской Федерации, находящемся в открытом водном или воздушном пространстве вне пределов Российской Федерации, подлежит уголовной ответственности по настоящему Кодексу, если иное не предусмотрено международным договором Российской Федерации. По настоящему Кодексу уголовную ответственность несет также лицо, совершившее преступление на военномкораблеили военном воздушном судне Российской Федерации независимо от места их нахождения. 4. Вопрос об уголовной ответственности дипломатических представителей иностранных государств ииныхграждан, которые пользуются иммунитетом, в случае совершения этими лицами преступления на территории Российской Федерации разрешается в соответствии с нормами международного права.
Статья 12. Действие уголовного закона в отношении лиц, совершивших преступление вне пределов Российской Федерации;УК РФ Статья 12. Действие уголовного закона в отношении лиц, совершивших преступление вне пределов Российской Федерации 1. Граждане Российской Федерации и постоянно проживающие в Российской Федерации лица без гражданства, совершившие вне пределов Российской Федерации преступление против интересов, охраняемых настоящим Кодексом, подлежат уголовной ответственности в соответствии с настоящим Кодексом, если в отношении этих лиц по данному преступлению не имеется решения суда иностранного государства. 2. Военнослужащие воинских частей Российской Федерации, дислоцирующихся за пределами Российской Федерации, за преступления, совершенные на территории иностранного государства, несут уголовную ответственность по настоящему Кодексу, если иное не предусмотрено международным договором Российской Федерации. 3. Иностранные граждане и лица без гражданства, не проживающие постоянно в Российской Федерации, совершившие преступление вне пределов Российской Федерации, подлежат уголовной ответственности по настоящему Кодексу в случаях, если преступление направлено против интересов Российской Федерации либо гражданина Российской Федерации или постоянно проживающего в Российской Федерации лица без гражданства, а также в случаях, предусмотренных международным договором Российской Федерации или иным документом международного характера, содержащим обязательства, признаваемые Российской Федерацией, в сфере отношений, регулируемых настоящим Кодексом, если иностранные граждане и лица без гражданства, не проживающие постоянно в Российской Федерации, не были осуждены в иностранном государстве и привлекаются к уголовной ответственности на территории Российской Федерации.
Статья 13. Выдача лиц, совершивших преступление;УК РФ Статья 13. Выдача лиц, совершивших преступление 1. Граждане Российской Федерации, совершившие преступление на территории иностранного государства, не подлежатвыдачеэтому государству. 2. Иностранные граждане и лица без гражданства, совершившие преступление вне пределов Российской Федерации и находящиеся на территории Российской Федерации, могут быть выданы иностранному государству для привлечения к уголовной ответственности или отбывания наказания в соответствии с международным договором Российской Федерации.
Статья 14. Понятие преступления;УК РФ Статья 14. Понятие преступления 1. Преступлением признается виновно совершенноеобщественно опасное деяние, запрещенное настоящим Кодексом под угрозой наказания. 2. Не является преступлением действие (бездействие), хотя формально и содержащее признаки какого-либо деяния, предусмотренного настоящим Кодексом, но в силумалозначительностине представляющее общественной опасности.
Статья 15. Категории преступлений;"УК РФ Статья 15. Категории преступлений 1. В зависимости от характера и степениобщественной опасности деяния, предусмотренные настоящим Кодексом, подразделяются на преступления небольшой тяжести, преступления средней тяжести, тяжкие преступления и особо тяжкие преступления. 2. Преступлениями небольшой тяжести признаются умышленные и неосторожные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает трех лет лишения свободы. 3. Преступлениями средней тяжести признаются умышленные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает пяти лет лишения свободы, и неосторожные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает десяти лет лишения свободы. 4. Тяжкими преступлениями признаются умышленные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает десяти лет лишения свободы, и неосторожные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает пятнадцати лет лишения свободы. 5. Особо тяжкими преступлениями признаются умышленные деяния, за совершение которых настоящим Кодексом предусмотрено наказание в виде лишения свободы на срок свыше десяти лет или более строгое наказание. 6. С учетом фактических обстоятельств преступления и степени его общественной опасности суд вправе при наличии смягчающих наказание обстоятельств и при отсутствии отягчающих наказание обстоятельствизменитькатегорию преступления на менее тяжкую, но не более чем на одну категорию преступления при условии, что за совершение преступления, указанного вчасти третьейнастоящей статьи, осужденному назначено наказание, не превышающее трех лет лишения свободы, или другое более мягкое наказание; за совершение преступления, указанного вчасти четвертойнастоящей статьи, осужденному назначено наказание, не превышающее пяти лет лишения свободы, или другое более мягкое наказание; за совершение преступления, указанного вчасти пятойнастоящей статьи, осужденному назначено наказание, не превышающее семи лет лишения свободы."
Статья 16. Утратила силу;Статья 16. Утратила силу. - Федеральныйзаконот 08.12.2003 N 162-ФЗ.
Статья 17. Совокупность преступлений;УК РФ Статья 17. Совокупность преступлений 1. Совокупностью преступлений признается совершение двух или более преступлений, ни за одно из которых лицо не было осуждено, за исключением случаев, когда совершение двух или более преступлений предусмотрено статьямиОсобенной частинастоящего Кодекса в качестве обстоятельства, влекущего более строгое наказание. При совокупности преступлений лицо несет уголовную ответственность за каждое совершенное преступление по соответствующей статье или части статьи настоящего Кодекса. 2. Совокупностью преступлений признается и одно действие (бездействие), содержащее признаки преступлений, предусмотренных двумя или более статьями настоящего Кодекса. 3. Если преступление предусмотрено общей и специальной нормами, совокупность преступлений отсутствует и уголовная ответственность наступает по специальной норме.
Статья 18. Рецидив преступлений;"УК РФ Статья 18. Рецидив преступлений  (в ред. Федеральногозаконаот 08.12.2003 N 162-ФЗ) (см. текст в предыдущейредакции) 1. Рецидивом преступлений признается совершение умышленного преступления лицом, имеющим судимость за ранее совершенное умышленное преступление. 2. Рецидив преступлений признаетсяопасным: а) при совершении лицом тяжкого преступления, за которое оно осуждается к реальному лишению свободы, если ранее это лицо два или более раза было осуждено за умышленноепреступление средней тяжестик лишению свободы; б) при совершении лицомтяжкого преступления, если ранее оно было осуждено за тяжкое илиособо тяжкое преступлениек реальному лишению свободы. 3. Рецидив преступлений признаетсяособо опасным: а) при совершении лицом тяжкого преступления, за которое оно осуждается к реальному лишению свободы, если ранее это лицо два раза было осуждено за тяжкое преступление к реальному лишению свободы; б) при совершении лицом особо тяжкого преступления, если ранее оно два раза было осуждено за тяжкое преступление или ранее осуждалось за особо тяжкое преступление. 4. При признании рецидива преступлений не учитываются: а) судимости за умышленныепреступления небольшой тяжести; б) судимости за преступления, совершенные лицом ввозрастедо восемнадцати лет; в) судимости за преступления, осуждение за которыепризнавалосьусловным либо по которым предоставлялась отсрочка исполнения приговора, если условное осуждение или отсрочка исполнения приговора не отменялись и лицо не направлялось для отбывания наказания в места лишения свободы, а также судимости, снятые или погашенные в порядке, установленномстатьей 86настоящего Кодекса. 5. Рецидив преступлений влечет более строгое наказание на основании и в пределах, предусмотренных настоящимКодексом, а также иные последствия, предусмотренныезаконодательствомРоссийской Федерации."
Статья 19. Общие условия уголовной ответственности;УК РФ Статья 19. Общие условия уголовной ответственности Уголовной ответственности подлежит только вменяемое физическое лицо, достигшеевозраста, установленного настоящим Кодексом.
Статья 20. Возраст, с которого наступает уголовная ответственность;УК РФ Статья 20. Возраст, с которого наступает уголовная ответственность 1. Уголовной ответственности подлежит лицо, достигшее ко времени совершения преступления шестнадцатилетнего возраста. 2. Лица, достигшие ко времени совершения преступления четырнадцатилетнего возраста, подлежат уголовной ответственности за убийство (статья 105), умышленное причинение тяжкого вреда здоровью (статья 111), умышленное причинение средней тяжести вреда здоровью (статья 112), похищение человека (статья 126), изнасилование (статья 131), насильственные действия сексуального характера (статья 132), кражу (статья 158), грабеж (статья 161), разбой (статья 162), вымогательство (статья 163), неправомерное завладение автомобилем или иным транспортным средством без цели хищения (статья 166), умышленные уничтожение или повреждение имущества при отягчающих обстоятельствах (часть вторая статьи 167), террористический акт (статья 205), прохождение обучения в целях осуществления террористической деятельности (статья 205.3), участие в террористическом сообществе (часть вторая статьи 205.4), участие в деятельности террористической организации (часть вторая статьи 205.5), несообщение о преступлении (статья 205.6), захват заложника (статья 206), заведомо ложное сообщение об акте терроризма (статья 207), участие в незаконном вооруженном формировании (часть вторая статьи 208), угон судна воздушного или водного транспорта либо железнодорожного подвижного состава (статья 211), участие в массовых беспорядках (часть вторая статьи 212), хулиганство при отягчающих обстоятельствах (части втораяитретья статьи 213), вандализм (статья 214), незаконные приобретение, передачу, сбыт, хранение, перевозку или ношение взрывчатых веществ или взрывных устройств (статья 222.1), незаконное изготовление взрывчатых веществ или взрывных устройств (статья 223.1), хищение либо вымогательство оружия, боеприпасов, взрывчатых веществ и взрывных устройств (статья 226), хищение либо вымогательство наркотических средств или психотропных веществ (статья 229), приведение в негодность транспортных средств или путей сообщения (статья 267), посягательство на жизнь государственного или общественного деятеля (статья 277), нападение на лиц или учреждения, которые пользуются международной защитой (статья 360), акт международного терроризма (статья 361). 3. Если несовершеннолетний достиг возраста, предусмотренногочастями первойиливторойнастоящей статьи, но вследствие отставания в психическом развитии, не связанном с психическим расстройством, во время совершенияобщественно опасного деянияне мог в полной мере осознавать фактический характер и общественную опасность своих действий (бездействия) либо руководить ими, он не подлежит уголовной ответственности.
Статья 21. Невменяемость;УК РФ Статья 21. Невменяемость 1. Не подлежит уголовной ответственности лицо, которое во время совершенияобщественно опасного деяниянаходилось в состоянии невменяемости, то есть не могло осознавать фактический характер и общественную опасность своих действий (бездействия) либо руководить ими вследствие хронического психического расстройства, временного психического расстройства, слабоумия либо иного болезненного состояния психики. 2. Лицу, совершившему предусмотренное уголовным законом общественно опасное деяние в состоянии невменяемости, судом могут быть назначены принудительные меры медицинского характера, предусмотренные настоящимКодексом.
Статья 22. Уголовная ответственность лиц с психическим расстройством, не исключающим вменяемости;УК РФ Статья 22. Уголовная ответственность лиц с психическим расстройством, не исключающим вменяемости 1. Вменяемое лицо, которое во время совершения преступления в силу психического расстройства не могло в полной мере осознавать фактический характер иобщественную опасностьсвоих действий (бездействия) либо руководить ими, подлежит уголовной ответственности. 2. Психическое расстройство, не исключающее вменяемости,учитываетсясудом при назначении наказания и может служить основанием для назначения принудительных мер медицинского характера.
Статья 23. Уголовная ответственность лиц, совершивших преступление в состоянии опьянения;УК РФ Статья 23. Уголовная ответственность лиц, совершивших преступление в состоянии опьянения Лицо, совершившее преступление в состоянии опьянения, вызванном употреблением алкоголя,наркотических средств,психотропных веществили иханалогов, новых потенциально опасныхпсихоактивных веществлибо других одурманивающих веществ, подлежит уголовной ответственности.
Статья 24. Формы вины;УК РФ Статья 24. Формы вины 1. Виновным в преступлении признается лицо, совершившее деяние умышленно или по неосторожности. 2. Деяние, совершенное только по неосторожности, признается преступлением лишь в случае, когда это специально предусмотрено соответствующей статьейОсобенной частинастоящего Кодекса.
Статья 25. Преступление, совершенное умышленно;УК РФ Статья 25. Преступление, совершенное умышленно 1. Преступлением, совершенным умышленно, признается деяние, совершенное с прямым или косвенным умыслом. 2. Преступление признается совершенным с прямым умыслом, если лицо осознавалообщественную опасностьсвоих действий (бездействия), предвидело возможность или неизбежность наступления общественно опасных последствий и желало их наступления. 3. Преступление признается совершенным с косвенным умыслом, если лицо осознавало общественную опасность своих действий (бездействия), предвидело возможность наступления общественно опасных последствий, не желало, но сознательно допускало эти последствия либо относилось к ним безразлично.
Статья 26. Преступление, совершенное по неосторожности;УК РФ Статья 26. Преступление, совершенное по неосторожности 1. Преступлением, совершенным по неосторожности, признается деяние, совершенное по легкомыслию или небрежности. 2. Преступление признается совершенным по легкомыслию, если лицо предвидело возможность наступления общественно опасных последствий своих действий (бездействия), но без достаточных к тому оснований самонадеянно рассчитывало на предотвращение этих последствий. 3. Преступление признается совершенным по небрежности, если лицо не предвидело возможности наступления общественно опасных последствий своих действий (бездействия), хотя при необходимой внимательности и предусмотрительности должно было и могло предвидеть эти последствия.
Статья 27. Ответственность за преступление, совершенное с двумя формами вины;УК РФ Статья 27. Ответственность за преступление, совершенное с двумя формами вины Если в результате совершения умышленного преступления причиняются тяжкие последствия, которые по закону влекут более строгое наказание и которые не охватывались умыслом лица, уголовная ответственность за такие последствия наступает только в случае, если лицо предвидело возможность их наступления, но без достаточных к тому оснований самонадеянно рассчитывало на их предотвращение, или в случае, если лицо не предвидело, но должно было и могло предвидеть возможность наступления этих последствий. В целом такое преступление признается совершенным умышленно.
Статья 28. Невиновное причинение вреда;УК РФ Статья 28. Невиновное причинение вреда 1. Деяние признается совершенным невиновно, если лицо, его совершившее, не осознавало и по обстоятельствам дела не могло осознаватьобщественной опасностисвоих действий (бездействия) либо не предвидело возможности наступления общественно опасных последствий и по обстоятельствам дела не должно было или не могло их предвидеть. 2. Деяние признается также совершенным невиновно, если лицо, его совершившее, хотя и предвидело возможность наступления общественно опасных последствий своих действий (бездействия), но не могло предотвратить эти последствия в силу несоответствия своих психофизиологических качеств требованиям экстремальных условий или нервно-психическим перегрузкам.
Статья 29. Оконченное и неоконченное преступления;УК РФ Статья 29. Оконченное и неоконченное преступления 1. Преступление признается оконченным, если в совершенном лицом деянии содержатся все признаки состава преступления, предусмотренного настоящим Кодексом. 2. Неоконченным преступлением признаются приготовление к преступлению и покушение на преступление. 3. Уголовная ответственность за неоконченное преступление наступает по статье настоящего Кодекса, предусматривающей ответственность за оконченное преступление, со ссылкой настатью 30настоящего Кодекса.
Статья 30. Приготовление к преступлению и покушение на преступление;УК РФ Статья 30. Приготовление к преступлению и покушение на преступление 1. Приготовлением к преступлению признаются приискание, изготовление или приспособление лицом средств или орудий совершения преступления, приискание соучастников преступления, сговор на совершение преступления либо иное умышленное создание условий для совершения преступления, если при этом преступление не было доведено до конца по не зависящим от этого лица обстоятельствам. 2. Уголовная ответственность наступает за приготовление только ктяжкомуиособо тяжкомупреступлениям. 3. Покушением на преступление признаются умышленные действия (бездействие) лица, непосредственно направленные на совершение преступления, если при этом преступление не было доведено до конца по не зависящим от этого лица обстоятельствам.
Статья 31. Добровольный отказ от преступления;УК РФ Статья 31. Добровольный отказ от преступления 1. Добровольным отказом от преступления признается прекращение лицом приготовления к преступлению либо прекращение действий (бездействия), непосредственно направленных на совершение преступления, если лицо осознавало возможность доведения преступления до конца. 2. Лицо не подлежит уголовной ответственности за преступление, если оно добровольно и окончательно отказалось от доведения этого преступления до конца. 3. Лицо, добровольно отказавшееся от доведения преступления до конца, подлежит уголовной ответственности в том случае, если фактически совершенное им деяние содержит иной состав преступления. 4. Организатор преступления и подстрекатель к преступлению не подлежат уголовной ответственности, если эти лица своевременным сообщением органам власти или иными предпринятыми мерами предотвратили доведение преступления исполнителем до конца. Пособник преступления не подлежит уголовной ответственности, если он предпринял все зависящие от него меры, чтобы предотвратить совершение преступления. 5. Если действия организатора или подстрекателя, предусмотренныечастью четвертойнастоящей статьи, не привели к предотвращению совершения преступления исполнителем, то предпринятые ими меры могут быть признаны судом смягчающими обстоятельствами при назначении наказания.
